feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
mata,0.005307877840930297,0.001450789589063478,0.0023235633281426093,0.00041978664431471227,0.0013608892229014663,0.005376206680438084,0.01623911330579065
bodo,0.001810208223061456,0.002422385322340309,0.005694908656706283,0.004990572450287792,0.00044084554290607934,0.0008756677627911524,0.016234587958093072
moga,0.002764958871355611,0.0019650244604010104,0.002839994913001439,0.003251292364671697,0.0022699534453361043,0.003021399421382521,0.016112623476148384
abis,0.0011896091867470305,0.004529370267157518,0.002263383390917443,0.0017377252077823428,0.004602695216472052,0.0017885923191968145,0.016111375588273198
sampe,0.007080752844248659,0.0009591879036520085,0.0017518426597822382,0.002700692386005657,0.002982087443221091,0.0006053182588916688,0.01607988149580132
senior,0.00116038008428582,0.003877146314892542,0.007095468144080048,0.0008475227380490425,8.059810428320676e-05,0.002824866378667656,0.015885981764258313
tukang,0.002730899802296994,0.0074050989067974485,0.0005263942010639019,0.0017815365522450444,0.0003678278214421362,0.003051228931877254,0.01586298621572278
kepala,0.0018961570467902927,0.005317827391854508,0.0013184956834761574,0.0012716116400432187,0.0012871978840978372,0.004755752272595055,0.01584704191885707
umur,0.002366140748127137,0.0017103711556105956,0.0002694033807162753,0.0004809817588744809,0.007173072041876981,0.003846945277729943,0.015846914362935414
kat,0.004982238198995522,0.0036876135275084997,0.0029236361551165002,0.002981429244976959,0.0003489113711414319,0.000887920210485189,0.015811748708224105
maho,0.005746923902892339,0.0014609466699819181,0.002140129805919551,0.005350190302915686,0.0001826282658128108,0.0008932884701016302,0.015774107417623934
jawa,0.005407207157647101,0.0008237681420252658,0.003954050467581404,0.0036888511553080233,0.001598732395049567,0.00018680607183267783,0.01565941538944404
untung,2.2494397820857902e-05,0.003025531256589837,0.0022179163257948767,0.004623204349280626,0.00012354592942917097,0.0055768596073255666,0.015589551866240935
keluarga,0.0032954906097981736,0.0016832884089541136,0.005241587017546916,0.002808843268358276,0.00035134958038678175,0.0021946856891767574,0.015575244574221018
kau,0.002416821487537979,0.0032866504356114435,0.0015309876982044419,0.0043486355714479254,0.0019048455264000896,0.0020809968729030627,0.015568937592104941
bisu,0.001454743913105781,0.0038505085057793115,0.002172773343161298,0.0053091325010168715,0.00024689802688271687,0.002415791287912106,0.015449847577858085
milik,0.006622236591965945,0.0015815804253218831,0.003341282436889268,0.0023491856187836274,0.00044837211432058045,0.0010981840033495159,0.015440841190630817
teknologi,0.0016935763380802387,0.005810471526045132,0.0026822958831938673,0.004591332123308063,0.00018284233674152554,0.00041326219436486027,0.015373780401733686
wilayah,0.0048171354817498156,0.00265631781589097,0.00019570418123806302,0.000939128194882314,0.0022432682915345405,0.004486760992461968,0.01533831495775767
me,0.004065801423066931,0.0020130702253377654,0.002962809151637171,0.00344344217355807,0.0015417645477905598,0.00121438487100019,0.015241272392390688
aceh,0.0031583417153166486,6.45024693250595e-05,0.004042291190189112,0.0051512037979467434,0.0004011362081462789,0.0023860628463803347,0.015203538227304178
kena,0.0003170403596858858,0.003560016824843719,0.002462375069270274,0.00024738306250713787,0.0013188859698545512,0.007271620566789771,0.015177321852951339
the,0.0066859107059035845,0.004283008356756761,0.0006799456789705924,0.000871741762350579,8.404573449268267e-05,0.002510652698034108,0.01511530493650831
usaha,0.0034066154463842434,0.0007971047540207054,0.0033272309823862128,0.0009834429273033881,0.0008181665494933221,0.005771465296939628,0.0151040259565275
kafir,0.0022721831603710694,0.005288834271959892,0.004894191819333846,0.0018617394950642971,0.00037134557958636987,0.00038714679226706803,0.015075441118582543
hitam,0.001810168034376538,0.00444154327049413,0.002765149360121962,0.004242574889011069,0.0005088890082512379,0.0012649019525136293,0.015033226514768567
swt,0.001925479826206005,0.00518800735465725,0.0022955815882964004,0.0033323603375705426,0.0002832646932030054,0.0019424840859743853,0.014967177885907589
as,0.004032405046762257,0.0036531211924597648,0.0038229815248072016,0.001490887154775265,0.0007338880963635999,0.0012189224193659542,0.014952205434534042
urus,0.002584091943839515,0.0007101324523829132,0.006754775263315281,0.0006976289679457482,7.591579500555437e-06,0.004150588255538003,0.014904808462522016
rs,0.007419084716418393,0.0017820743886191423,0.0028151212642791835,0.0008896578143227472,0.0007901959179583558,0.0011420353312390785,0.0148381694328369
